Date,Month,DayofWeek,symbol,vol_percent_prev,close_percent_prev,open_percent_prev,high_percent_prev,low_percent_prev,prev_day_movement,bar_movement,close_percent_high,close_percent_low,Label
2000-06-28,6,2,IJR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOWS
2000-06-29,6,3,IJR,0.02631578947368421,0.99268018018018,1.0190751445086703,0.99268018018018,1.0190751445086703,0.026589595375722593,0.0,1.0,1.0,NONE
2000-06-30,6,4,IJR,0.0053475935828877,1.0,0.9971639251276233,0.9926595143986446,1.0028522532800912,-0.0028360748723766714,0.0,1.0,1.0,NONE
2000-07-03,7,0,IJR,0.7669270833333334,1.0005698005698005,1.001137656427759,0.9994321408290745,1.0045766590389016,-0.001706484641638088,-0.002272727272727426,0.9977272727272726,1.0,LOWS
2000-07-05,7,2,IJR,0.006734006734006734,0.997179921037789,1.0045454545454544,0.997179921037789,1.0068337129840548,0.007386363636363579,0.0,1.0,1.0,HIGHS
2000-07-06,7,3,IJR,1.8333333333333333,0.9943310657596371,0.9920814479638008,0.9920814479638008,0.996590909090909,-0.0022624434389139788,0.0,1.0,1.0,NONE
2000-07-07,7,4,IJR,0.03890489913544669,1.0073363431151243,1.014823261117446,1.0073363431151243,1.0241657077100117,0.010262257696693257,0.0028089887640449836,1.0,0.9971988795518207,LOWS
2000-07-10,7,0,IJR,0.13333333333333333,1.003337041156841,1.0112359550561798,1.0022222222222221,1.0095505617977527,0.010112359550561782,0.002222222222222175,1.0,0.996119733924612,LOWS
2000-07-11,7,1,IJR,0.09090909090909091,1.004424778761062,1.0061111111111112,1.0,1.0077907623817475,0.00444444444444435,0.002760905577029305,1.0,0.9972466960352423,NONE
2000-07-12,7,2,IJR,0.01282051282051282,1.008849557522124,1.007178354500276,1.0021978021978022,1.0105263157894735,-0.0016565433462176222,0.0,1.0,1.0,LOWS
2000-07-13,7,3,IJR,0.45161290322580644,1.0021869874248222,1.0087719298245614,1.0043668122270741,1.0049342105263157,0.002741228070175478,-0.0038043478260869723,0.996195652173913,1.0,HIGHS
2000-07-14,7,4,IJR,0.023391812865497075,1.002183406113537,0.9994565217391306,0.9994565217391306,1.0043763676148796,-0.004347826086956429,-0.001631321370310013,0.99836867862969,1.0,HIGHS
2000-07-17,7,0,IJR,0.19047619047619047,0.9978165938864629,0.9940184883088635,0.9940184883088635,1.0,-0.0038064165307232344,0.0,1.0,1.0,LOWS
2000-07-18,7,1,IJR,1.0952380952380953,0.990238611713666,1.0032822757111597,0.9967462039045552,0.9989059080962801,0.008752735229759306,-0.0043620501635767885,0.9934711643090317,1.0,HIGHS
2000-07-19,7,2,IJR,0.21428571428571427,0.987431693989071,0.9923664122137404,0.9902067464635473,0.9906644700713892,-0.0021810250817883943,-0.007142857142857089,0.9928571428571429,0.9983397897066961,HIGHS
2000-07-20,7,3,IJR,0.1555977229601518,1.0083705357142856,0.989010989010989,0.9928571428571429,1.0044642857142856,-0.015384615384615252,0.003888888888888905,1.0,0.996126175982291,LOWS
2000-07-21,7,4,IJR,0.16666666666666666,0.9944444444444444,1.0044444444444443,0.9972421400992829,0.9944444444444444,0.0,-0.009955752212389367,0.9900442477876107,1.0,HIGHS
2000-07-24,7,0,IJR,0.05714285714285714,1.0005659309564232,0.9778761061946903,0.9778761061946903,1.0005659309564232,-0.02267699115044229,0.0,1.0,1.0,NONE
